m5dn.2xlarge       8 vCPU    3.1 GHz        32.0Gb     $0.684/hr
m5dn.4xlarge       16 vCPU   3.1 GHz        64.0Gb     $1.368/hr
m5dn.8xlarge       32 vCPU   3.1 GHz        128.0Gb    $2.736/hr
m5dn.12xlarge      48 vCPU   3.1 GHz        192.0Gb    $4.104/hr
m5dn.16xlarge      64 vCPU   3.1 GHz        256.0Gb    $5.472/hr
m5dn.24xlarge      96 vCPU   3.1 GHz        384.0Gb    $8.208/hr
m5dn.metal         96 vCPU   3.1 GHz        384.0Gb    $8.208/hr
m5n.large          2 vCPU    3.1 GHz        8.0Gb      $0.149/hr
m5n.xlarge         4 vCPU    3.1 GHz        16.0Gb     $0.298/hr
m5n.2xlarge        8 vCPU    3.1 GHz        32.0Gb     $0.596/hr
m5n.4xlarge        16 vCPU   3.1 GHz        64.0Gb     $1.192/hr
m5n.8xlarge        32 vCPU   3.1 GHz        128.0Gb    $2.384/hr
m5n.12xlarge       48 vCPU   3.1 GHz        192.0Gb    $3.576/hr
m5n.16xlarge       64 vCPU   3.1 GHz        256.0Gb    $4.768/hr
m5n.metal          96 vCPU   3.1 GHz        384.0Gb    $7.152/hr
m5n.24xlarge       96 vCPU   3.1 GHz        384.0Gb    $7.152/hr
m6g.medium         1 vCPU                   4.0Gb      $0.0484/hr
m6g.large          2 vCPU                   8.0Gb      $0.0968/hr
m6g.xlarge         4 vCPU                   16.0Gb     $0.1936/hr
m6g.2xlarge        8 vCPU                   32.0Gb     $0.3872/hr
m6g.4xlarge        16 vCPU                  64.0Gb     $0.7744/hr
m6g.8xlarge        32 vCPU                  128.0Gb    $1.5488/hr
m6g.12xlarge       48 vCPU                  192.0Gb    $2.3232/hr
m6g.16xlarge       64 vCPU                  256.0Gb    $3.0976/hr
m6g.metal          64 vCPU                  256.0Gb    $3.0976/hr
p2.xlarge          4 vCPU    2.3 GHz        61.0Gb     $1.08/hr
p2.16xlarge        64 vCPU   2.3 GHz        732.0Gb    $17.28/hr
p2.8xlarge         32 vCPU   2.3 GHz        488.0Gb    $8.64/hr
p3.8xlarge         32 vCPU   2.3 GHz        244.0Gb    $14.688/hr
p3.16xlarge        64 vCPU   2.3 GHz        488.0Gb    $29.376/hr
p3.2xlarge         8 vCPU    2.3 GHz        61.0Gb     $3.672/hr
p3dn.24xlarge      96 vCPU   2.5 GHz        768.0Gb    $37.454/hr
r3.large           2 vCPU    2.5 GHz        15.25Gb    $0.2/hr
r3.xlarge          4 vCPU    2.5 GHz        30.5Gb     $0.399/hr
r3.2xlarge         8 vCPU    2.5 GHz        61.0Gb     $0.798/hr
r3.4xlarge         16 vCPU   2.5 GHz        122.0Gb    $1.596/hr
r3.8xlarge         32 vCPU   2.5 GHz        244.0Gb    $3.192/hr
r4.large           2 vCPU    2.3 GHz        15.25Gb    $0.1596/hr
r4.xlarge          4 vCPU    2.3 GHz        30.5Gb     $0.3192/hr
r4.2xlarge         8 vCPU    2.3 GHz        61.0Gb     $0.6384/hr
r4.4xlarge         16 vCPU   2.3 GHz        122.0Gb    $1.2768/hr
r4.8xlarge         32 vCPU   2.3 GHz        244.0Gb    $2.5536/hr
r4.16xlarge        64 vCPU   2.3 GHz        488.0Gb    $5.1072/hr
r5.large           2 vCPU    3.1 GHz        16.0Gb     $0.151/hr
r5.xlarge          4 vCPU    3.1 GHz        32.0Gb     $0.302/hr
r5.2xlarge         8 vCPU    3.1 GHz        64.0Gb     $0.604/hr
r5.4xlarge         16 vCPU   3.1 GHz        128.0Gb    $1.208/hr
r5.8xlarge         32 vCPU   3.1 GHz        256.0Gb    $2.416/hr
r5.12xlarge        48 vCPU   3.1 GHz        384.0Gb    $3.624/hr
r5.16xlarge        64 vCPU   3.1 GHz        512.0Gb    $4.832/hr
r5.metal           96 vCPU   3.1 GHz        768.0Gb    $7.248/hr
r5.24xlarge        96 vCPU   3.1 GHz        768.0Gb    $7.248/hr
r5a.large          2 vCPU    2.5 GHz        16.0Gb     $0.136/hr
r5a.xlarge         4 vCPU    2.5 GHz        32.0Gb     $0.272/hr
r5a.2xlarge        8 vCPU    2.5 GHz        64.0Gb     $0.544/hr
r5a.4xlarge        16 vCPU   2.5 GHz        128.0Gb    $1.088/hr
r5a.8xlarge        32 vCPU   2.5 GHz        256.0Gb    $2.176/hr
r5a.12xlarge       48 vCPU   2.5 GHz        384.0Gb    $3.264/hr
r5a.16xlarge       64 vCPU   2.5 GHz        512.0Gb    $4.352/hr
r5a.24xlarge       96 vCPU   2.5 GHz        768.0Gb    $6.528/hr
r5ad.large         2 vCPU    2.5 GHz        16.0Gb     $0.158/hr
