c1.medium      2 vCPU                   1.7Gb     $0.179/hr
c1.xlarge      8 vCPU                   7.0Gb     $0.718/hr
r5a.8xlarge    32 vCPU   2.5 GHz        256.0Gb   $2.896/hr
r5a.12xlarge   48 vCPU   2.5 GHz        384.0Gb   $4.344/hr
r5a.16xlarge   64 vCPU   2.5 GHz        512.0Gb   $5.792/hr
r5a.24xlarge   96 vCPU   2.5 GHz        768.0Gb   $8.688/hr
r5ad.large     2 vCPU    2.5 GHz        16.0Gb    $0.208/hr
r5ad.xlarge    4 vCPU    2.5 GHz        32.0Gb    $0.416/hr
r5ad.2xlarge   8 vCPU    2.5 GHz        64.0Gb    $0.832/hr
r5ad.4xlarge   16 vCPU   2.5 GHz        128.0Gb   $1.664/hr
r5ad.8xlarge   32 vCPU   2.5 GHz        256.0Gb   $3.328/hr
r5ad.12xlarge  48 vCPU   2.5 GHz        384.0Gb   $4.992/hr
r5ad.16xlarge  64 vCPU   2.5 GHz        512.0Gb   $6.656/hr
r5ad.24xlarge  96 vCPU   2.5 GHz        768.0Gb   $9.984/hr
r5d.large      2 vCPU    3.1 GHz        16.0Gb    $0.228/hr
r5d.xlarge     4 vCPU    3.1 GHz        32.0Gb    $0.456/hr
r5d.2xlarge    8 vCPU    3.1 GHz        64.0Gb    $0.912/hr
r5d.4xlarge    16 vCPU   3.1 GHz        128.0Gb   $1.824/hr
r5d.24xlarge   96 vCPU   3.1 GHz        768.0Gb   $10.944/hr
r5d.metal      96 vCPU   3.1 GHz        768.0Gb   $10.944/hr
r5d.8xlarge    32 vCPU   3.1 GHz        256.0Gb   $3.648/hr
r5d.12xlarge   48 vCPU   3.1 GHz        384.0Gb   $5.472/hr
r5d.16xlarge   64 vCPU   3.1 GHz        512.0Gb   $7.296/hr
r5n.large      2 vCPU    2.5 GHz        16.0Gb    $0.236/hr
r5n.xlarge     4 vCPU    2.5 GHz        32.0Gb    $0.472/hr
r5n.2xlarge    8 vCPU    2.5 GHz        64.0Gb    $0.944/hr
r5n.4xlarge    16 vCPU   2.5 GHz        128.0Gb   $1.888/hr
r5n.24xlarge   96 vCPU   2.5 GHz        768.0Gb   $11.328/hr
r5n.metal      96 vCPU   2.5 GHz        768.0Gb   $11.328/hr
r5n.8xlarge    32 vCPU   2.5 GHz        256.0Gb   $3.776/hr
r5n.12xlarge   48 vCPU   2.5 GHz        384.0Gb   $5.664/hr
r5n.16xlarge   64 vCPU   2.5 GHz        512.0Gb   $7.552/hr
r6g.medium     1 vCPU    2.5 GHz        8.0Gb     $0.0804/hr
r6g.large      2 vCPU    2.5 GHz        16.0Gb    $0.1608/hr
r6g.xlarge     4 vCPU    2.5 GHz        32.0Gb    $0.3216/hr
